Strassenname;Nummer;X;Y
Popelkaring;54;47.1159973;15.4301136
Andritzer Reichstraße;41;47.1043905;15.4119726
Andritzer Reichstraße;36;47.1032097;15.4145852
Körösistraße;155;47.0912576;15.4146207
Ibererstraße;6;47.0933767;15.3959314
Plabutscher Straße;30;47.0850819;15.3970864
Lastenstraße ;15;47.0830951;15.4044929
Grimmgasse;41;47.083525;15.4109796
Wolkensteingasse;35;47.0821278;15.3981887
Alte Poststraße;57;47.0798692;15.3977717
Eckertstraße;97;47.0688145;15.3885827
Handelstraße;6;47.0631856;15.3984488
Wetzelsdorfer Straße;102;47.0599896;15.3925914
Maria-Pachleitner-Straße;43;47.0586044;15.3992985
Südbahnstraße;53;47.0591716;15.4090595
Reininghausstraße;8;47.066215;15.4011388
Kärntner Straße;169;47.0450588;15.406281
Kärntner Straße;269;47.0357353;15.4016528
Hafner Straße;162;47.0250993;15.4001613
Guldinweg;34;47.0263277;15.4098892
Triester Straße;357;47.030282;15.4232996
Wagner-Jauregg-Straße;10;47.0366979;15.4195892
Neufeldweg;135;47.0454949;15.4553893
Petrifelderstraße;57;47.0482158;15.4585076
Petrifelderstraße;19;47.052661;15.4621006
Engelbert-Rückl-Gasse;4;47.0502494;15.4540264
Conrad-von-Hötzendorf-Straße;151;47.0493311;15.4502467
Conrad-von-Hötzendorf-Straße;127;47.0517698;15.4487833
Viehmarktgasse;248;47.0563634;15.4300203
Lagergasse;126;47.0560555;15.4319367
Eisteichgasse;3;47.0599677;15.4650945
Hafnerriegel;32;47.0628727;15.4507463
Karlauerstraße;6;47.0635976;15.4288739
Felix-Dahn-Platz;3;47.0667205;15.450554
Plüddemanngasse;37;47.0660739;15.4612457
Waltendorfer Hauptstraße;19;47.0668461;15.4651628
Merangasse;69;47.0710312;15.456015
Nibelungengasse;25;47.0701654;15.4550658
Brockmanngasse;2;47.0668478;15.4485275
Elisabethinergasse;25;47.0690968;15.4253086
Elisabethinergasse;10;47.0704115;15.425594
Leonhardstraße;115;47.0763992;15.4585495
Leonhardstraße;61;47.0744042;15.4532577
Elisabethstraße;51;47.0760351;15.4522829
Halbärthgasse;5;47.0765777;15.4477061
Heinrichstraße;55;47.0808319;15.4489867
Heinrichstraße;47;47.0801901;15.4478529
Lindenhofweg;10;47.0905567;15.4575951
Eichendorfstraße;1;47.0824969;15.4305365
Körösistraße;61;47.0826747;15.4280418
Zelinkagasse;1;47.1034322;15.421146
Rettenbacher Straße;3;47.0987043;15.4719058
Dietrichsteinerplatz;1;47.0667306;15.4445518
Am Eisernen Tor;9;47.0677881;15.4398447
Rösselmühlgasse;9;47.0666355;15.4275966
Marburger Kai;47;47.0678164;15.4337028
Andreas-Hofer-Platz;1;47.069173;15.434025
Münzgrabenstraße;24;47.0642524;15.4466268
Erzherzog-Johann-Allee;3;47.072402;15.440356
Keplerstraße;16;47.0766908;15.4281842
Parkstraße;1;47.0786989;15.4360387
Fuchsenfeldweg;1;47.0234475;15.4680952